year,timeframe,week,counts_31_counters,covid_period,pedestrians_14_counters,bikes_14_counters
2019,Week 1,2018-12-30,167679,N,68957,63100
2019,Week 2,2019-01-06,82340,N,34778,31703
2019,Week 3,2019-01-13,62315,N,32065,18082
2019,Week 4,2019-01-20,75801,N,35016,26280
2019,Week 5,2019-01-27,75841,N,33627,24447
2019,Week 6,2019-02-03,79780,N,35217,28308
2019,Week 7,2019-02-10,65732,N,32171,21176
2019,Week 8,2019-02-17,69492,N,36288,22085
2019,Week 9,2019-02-24,85688,N,44410,28591
2019,Week 10,2019-03-03,84512,N,65887,31425
2019,Week 11,2019-03-10,107995,N,23076,36968
2019,Week 12,2019-03-17,125440,Y,30298,20937
2019,Week 13,2019-03-24,136330,Y,68805,43560
2019,Week 14,2019-03-31,118784,Y,62779,22880
2019,Week 15,2019-04-07,132033,Y,83893,65750
2019,Week 16,2019-04-14,133267,Y,71677,44026
2019,Week 17,2019-04-21,165777,Y,87834,45732
2019,Week 18,2019-04-28,166356,Y,88284,50538
2019,Week 19,2019-05-05,171049,Y,94980,53183
2019,Week 20,2019-05-12,178534,Y,100251,52169
2019,Week 21,2019-05-19,191319,Y,179060,64922
2019,Week 22,2019-05-26,240507,Y,132357,77048
2019,Week 23,2019-06-02,211380,Y,97451,81672
2019,Week 24,2019-06-09,214729,Y,94747,91417
2019,Week 25,2019-06-16,202847,Y,87304,85124
2019,Week 26,2019-06-23,202445,Y,84230,88284
2019,Week 27,2019-06-30,184658,Y,68866,85466
2019,Week 28,2019-07-07,185302,Y,69626,85130
2019,Week 29,2019-07-14,166125,Y,64104,76352
2019,Week 30,2019-07-21,208809,Y,85786,90580
2019,Week 31,2019-07-28,197005,Y,81182,86638
2019,Week 32,2019-08-04,180605,Y,71150,76065
2019,Week 33,2019-08-11,191450,Y,90778,73885
2019,Week 34,2019-08-18,168754,Y,61826,73714
2019,Week 35,2019-08-25,176624,Y,69618,73190
2019,Week 36,2019-09-01,184806,Y,73657,76248
2019,Week 37,2019-09-08,157345,Y,64835,63340
2019,Week 38,2019-09-15,152527,Y,56589,64556
2019,Week 39,2019-09-22,141072,Y,51308,60301
2019,Week 40,2019-09-29,135881,Y,57862,52573
2019,Week 41,2019-10-06,132239,Y,59866,45322
2019,Week 42,2019-10-13,110816,Y,50785,39078
2019,Week 43,2019-10-20,110761,Y,50692,39398
2019,Week 44,2019-10-27,109795,Y,54306,37277
2019,Week 45,2019-11-03,109766,Y,58888,34454
2019,Week 46,2019-11-10,86824,Y,46887,28255
2019,Week 47,2019-11-17,88122,Y,,
2019,Week 48,2019-11-24,72380,Y,,
2019,Week 49,2019-12-01,81871,Y,,
2019,Week 50,2019-12-08,68364,Y,,
2020,Week 1,2019-12-29,183546,N,93654,47315
2020,Week 2,2020-01-05,97140,N,46964,25980
2020,Week 3,2020-01-12,75782,N,38302,19569
2020,Week 4,2020-01-19,83809,N,41506,22907
2020,Week 5,2020-01-26,94738,N,46335,25713
2020,Week 6,2020-02-02,153555,N,67437,34427
2020,Week 7,2020-02-09,130351,N,50846,32574
2020,Week 8,2020-02-16,149876,N,69353,47713
2020,Week 9,2020-02-23,141250,N,64508,44536
2020,Week 10,2020-03-01,167528,N,64326,63555
2020,Week 11,2020-03-08,210182,N,85501,71976
2020,Week 12,2020-03-15,367795,Y,117152,94145
2020,Week 13,2020-03-22,372783,Y,106175,69574
2020,Week 14,2020-03-29,280728,Y,113005,73814
2020,Week 15,2020-04-05,419160,Y,107420,81686
2020,Week 16,2020-04-12,241810,Y,122291,81775
2020,Week 17,2020-04-19,231184,Y,106246,84412
2020,Week 18,2020-04-26,276982,Y,109459,106090
2020,Week 19,2020-05-03,244058,Y,109391,96285
2020,Week 20,2020-05-10,281348,Y,119716,115579
2020,Week 21,2020-05-17,255226,Y,106249,104040
2020,Week 22,2020-05-24,299567,Y,111028,133746
2020,Week 23,2020-05-31,278800,Y,115580,121249
2020,Week 24,2020-06-07,296335,Y,122561,129916
2020,Week 25,2020-06-14,255112,Y,105924,110954
2020,Week 26,2020-06-21,256615,Y,97094,123108
2020,Week 27,2020-06-28,236287,Y,80405,118482
2020,Week 28,2020-07-05,244342,Y,87187,118638
2020,Week 29,2020-07-12,250590,Y,94974,121665
2020,Week 30,2020-07-19,223757,Y,83103,109271
2020,Week 31,2020-07-26,238673,Y,88592,115832
2020,Week 32,2020-08-02,239827,Y,93785,114110
2020,Week 33,2020-08-09,219279,Y,84000,103901
2020,Week 34,2020-08-16,241007,Y,86466,121113
2020,Week 35,2020-08-23,273677,Y,72144,116564
2020,Week 36,2020-08-30,227918,Y,85100,112050
2020,Week 37,2020-09-06,207670,Y,73695,96760
2020,Week 38,2020-09-13,207320,Y,75856,94094
2020,Week 39,2020-09-20,207918,Y,81451,93923
2020,Week 40,2020-09-27,186004,Y,75523,82615
2020,Week 41,2020-10-04,182924,Y,74958,78776
2020,Week 42,2020-10-11,159246,Y,66941,65208
2020,Week 43,2020-10-18,141404,Y,66721,56905
2020,Week 44,2020-10-25,147907,Y,95193,42349
2020,Week 45,2020-11-01,154502,Y,61197,70493
2020,Week 46,2020-11-08,155805,Y,96682,46105
2020,Week 47,2020-11-15,97835,Y,,
2020,Week 48,2020-11-22,101036,Y,,
2020,Week 49,2020-11-29,84123,Y,,
2020,Week 50,2020-12-06,92126,Y,,
